sample_id,input_modality,conversation_type,user_context,sender_context,group_context,business_context,historical_behavior,safety_signals,urgency_signals,personal_relevance,interruption_cost,media_signals,expected_action,expected_message_type,expected_confidence,expected_evidence_ids,why_action_plausible,alternative_considered,why_alternative_lost,reusable_principle,ambiguity
sample_msg_001,text,group,u_011,u_043 (group admin),group_002 (society/184 members),none,message_0001 (opened+replied),none,water tanker leaving in 20 mins,water supply for flat,society group - moderate,none,notify,urgent,0.89,message_0001,"Trusted admin in society group with immediate actionable deadline (water). User history shows engagement (opened+replied).","digest","Message is time-critical and requires immediate action (collect water or lose supply)","Trusted admin + real-time operational deadline + user-specific supply impact = notify","LOW — strong multi-signal support"
sample_msg_002,text,group,u_006,u_045 (admin),group_003 (school/96 members),none,message_0002 (opened+replied),none,bus leaving 15 mins early today,parent needs to act for child,school parent group,none,notify,event,0.87,message_0002,"School bus schedule change with same-day deadline. Child safety/logistics impact.","digest","Admin-only relevant to parents who need to act now","Same-day operational admin update affecting user directly = notify","LOW — clear school admin pattern"
sample_msg_003,text,group,u_010,u_046 (coworker),group_004 (coworker/28 members),none,message_0003 (opened+replied),none,"@u_010 direct mention, prod review in 90 mins, EOD deadline",direct @mention in work group,coworker group,none,notify,urgent,0.85,message_0003,"Direct @mention with time-sensitive deliverable. Work context with clear deadline.","digest","@mention + EOD client deadline + explicit dependency on this user","Direct mention + work deliverable + named deadline = notify","LOW"
sample_msg_004,text,business,u_001,business_001 (Amazon),none,business_001 (Amazon - verified ecommerce),message_0004 (opened+replied),none,order expected today,active delivery in progress,legitimate business,none,notify,business_update,0.91,message_0004,"Verified business (Amazon). User has active order. Delivery-day update is actionable.","digest","Delivery today is time-relevant. User wants to prepare for delivery.","Verified business + active transaction match + delivery day = notify","LOW"
sample_msg_005,text,business,u_003,business_004 (Care Services),none,business_004 (verified health),message_0005 (opened+replied),none,appointment/prescription check before scheduled time,health appointment today,legitimate business,none,notify,event,0.89,message_0005,"Verified health business. Appointment/prescription has a scheduled time. User engaged with similar before.","digest","Time-sensitive health action required before scheduled appointment","Verified health business + scheduled appointment = notify","LOW"
sample_msg_006,text,group,u_004,u_054 (friend),group_006 (friends/77 members),none,message_0006 (opened+replied),none,"@u_004 direct question, quick response requested",direct personal question from friend,friend group,none,notify,personal,0.87,message_0006,"Direct @mention from trusted contact. Requires user response for logistics coordination.","digest","Friend asks for quick yes/no before confirming cab count","Direct personal mention requiring brief response = notify","LOW"
sample_msg_007,text,business,u_012,business_092 (travel promo),none,business_092 (verified travel),message_0007 (opened, not replied),none,Ladakh deal from Rs 17999,user opted into travel marketing,promotional offer,none,digest,promotion,0.78,message_0007,"Promotional message user opted into. No urgency. Interesting but non-immediate.","notify","Still promotional — interesting but not a disruption-level event","Opted-in promotion without immediate deadline = digest","MEDIUM — confidence lower because opt-in status not confirmed in sample"
sample_msg_008,text,group,u_015,u_043 (admin),group_010 (society/156 members),none,message_0008 (opened, slow reply),none,form open till next Sunday - no urgency stated,relevant community info,society group,none,digest,event,0.84,message_0008,"Useful community event with a week-long window. No immediate action required.","notify","Not urgent — week-long window explicitly stated","Useful but not urgent event = digest","LOW"
sample_msg_009,text,group,u_035,u_042,group_009 (family/18 members),none,message_0009 (dismissed),none,no urgency,good vibes only,family group,none,digest,greeting,0.82,message_0009,"Harmless greeting. Low engagement expected. User dismissed previous similar.","mute","Not scam, has some social value","Harmless greeting with social value = digest (not mute)","MEDIUM — could be mute if user dismisses all greetings"
sample_msg_010,text,group,u_026,u_054,group_015 (book club/44 members),none,message_0010 (dismissed),none,casual question - no urgency,optional casual chat,book club,none,digest,personal,0.80,message_0010,"Safe casual message. No action required. User muted similar in past.","mute","No safety risk, harmless social content","Casual chat without urgency = digest","MEDIUM — mute plausible if user has repeated dismissals"
sample_msg_011,text,business,u_002,business_096 (PVR Cinemas),none,business_096 (verified entertainment),message_0011 (opened, no reply),none,feedback request - non-urgent,user visited cinema,legitimate business,none,digest,business_update,0.78,message_0011,"Post-visit feedback from verified business. Legitimate but low priority.","notify","No deadline or critical action","Post-transaction feedback without deadline = digest","LOW"
